Region,Country,Item Type,Order Date,Order ID,Units Sold,Unit Price
Middle East and North Africa,Libya,Cosmetics,2014-10-18,686800706,8446,437.2
North America,Canada,Vegetables,2011-11-07,185941302,3018,154.06
Middle East and North Africa,Libya,Baby Food,2016-10-31,246222341,1517,255.28
Asia,Japan,Cereal,2010-04-10,161442649,3322,205.7
Sub-Saharan Africa,Chad,Fruits,2011-08-16,645713555,9845,9.33
Europe,Armenia,Cereal,2014-11-24,683458888,9528,205.7
Sub-Saharan Africa,Eritrea,Cereal,2015-03-04,679414975,2844,205.7
Europe,Montenegro,Clothes,2012-05-17,208630645,7299,109.28
Central America and the Caribbean,Jamaica,Vegetables,2015-01-29,266467225,2428,154.06
Australia and Oceania,Fiji,Vegetables,2013-12-24,118598544,4800,154.06
Sub-Saharan Africa,Togo,Clothes,2015-12-29,451010930,3012,109.28
Europe,Montenegro,Snacks,2010-02-27,220003211,2694,152.58
Europe,Greece,Household,2016-11-17,702186715,1508,668.27
Sub-Saharan Africa,Sudan,Cosmetics,2015-12-20,544485270,4146,437.2
Asia,Maldives,Fruits,2011-01-08,714135205,7332,9.33
Europe,Montenegro,Clothes,2010-06-28,448685348,4820,109.28
Europe,Estonia,Office Supplies,2016-04-25,405997025,2397,651.21
North America,Greenland,Beverages,2012-07-27,414244067,2880,47.45
Sub-Saharan Africa,Cape Verde,Clothes,2014-09-08,821912801,1117,109.28
Sub-Saharan Africa,Senegal,Household,2012-08-27,247802054,8989,668.27
Australia and Oceania,Federated States of Micronesia,Snacks,2012-09-03,531023156,407,152.58
Europe,Bulgaria,Clothes,2010-08-27,880999934,6313,109.28
Middle East and North Africa,Algeria,Personal Care,2011-02-20,127468717,9681,81.73
Asia,Mongolia,Clothes,2015-12-12,770478332,515,109.28
Central America and the Caribbean,Grenada,Cereal,2012-10-28,430390107,852,205.7
Central America and the Caribbean,Grenada,Beverages,2017-01-30,397877871,9759,47.45
Sub-Saharan Africa,Senegal,Beverages,2014-10-22,683927953,8334,47.45
North America,Greenland,Fruits,2012-01-31,469839179,4709,9.33
Sub-Saharan Africa,Chad,Meat,2016-01-20,357222878,9043,421.89
Sub-Saharan Africa,"Mauritius ",Personal Care,2016-01-01,118002879,8529,81.73
Middle East and North Africa,Morocco,Beverages,2017-06-01,944415509,2391,47.45
Central America and the Caribbean,Honduras,Office Supplies,2015-06-30,499009597,6884,651.21
Sub-Saharan Africa,Benin,Fruits,2014-01-28,564646470,293,9.33
Europe,Greece,Baby Food,2014-04-08,294499957,7937,255.28
Central America and the Caribbean,Jamaica,Beverages,2010-09-04,262056386,7163,47.45
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,2010-05-02,211114585,2352,651.21
Sub-Saharan Africa,Swaziland,Office Supplies,2013-10-03,405785882,9915,651.21
Central America and the Caribbean,Trinidad and Tobago,Vegetables,2011-03-06,280494105,3294,154.06
Europe,Sweden,Baby Food,2016-08-07,689975583,7963,255.28
Europe,Belarus,Office Supplies,2011-01-11,759279143,6426,651.21
Sub-Saharan Africa,Guinea-Bissau,Office Supplies,2014-05-21,133766114,3221,651.21
Asia,Mongolia,Beverages,2013-08-03,329110324,9913,47.45
Middle East and North Africa,Turkey,Meat,2011-10-05,681298100,103,421.89
Sub-Saharan Africa,Central African Republic,Snacks,2016-11-15,596628272,4419,152.58
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,2015-04-03,901712167,5523,651.21
Asia,Laos,Beverages,2013-03-22,693473613,3107,47.45
Europe,Armenia,Meat,2010-08-02,489148938,8896,421.89
Europe,Greece,Household,2012-01-05,876286971,1643,668.27
Middle East and North Africa,Israel,Personal Care,2015-08-26,262749040,2135,81.73
Asia,Bhutan,Meat,2016-12-09,726708972,8189,421.89
Australia and Oceania,Vanuatu,Vegetables,2012-05-17,366653096,9654,154.06
Sub-Saharan Africa,Burundi,Vegetables,2010-11-17,951380240,3410,154.06
Europe,Ukraine,Cosmetics,2014-11-13,270001733,8368,437.2
Europe,Croatia,Beverages,2016-06-16,681941401,470,47.45
Sub-Saharan Africa,Madagascar,Fruits,2016-05-31,566935575,7690,9.33
Asia,Malaysia,Snacks,2012-10-06,175033080,5033,152.58
Asia,Uzbekistan,Office Supplies,2012-03-10,276595246,9535,651.21
Europe,Italy,Office Supplies,2011-01-26,812295901,5263,651.21
Asia,Nepal,Vegetables,2014-06-02,443121373,8316,154.06
Australia and Oceania,Fiji,Personal Care,2016-12-17,600370490,1824,81.73
Europe,Portugal,Office Supplies,2014-06-27,535654580,949,651.21
Central America and the Caribbean,Panama,Cosmetics,2015-03-17,470897471,7881,437.2
Europe,Belarus,Beverages,2013-04-03,248335492,6846,47.45
Sub-Saharan Africa,Botswana,Clothes,2015-03-08,680517470,9097,109.28
Sub-Saharan Africa,Tanzania,Personal Care,2013-06-21,400304734,7921,81.73
Europe,Romania,Office Supplies,2013-01-06,810871112,3636,651.21
Sub-Saharan Africa,Mali,Cereal,2012-03-17,235702931,8590,205.7
Sub-Saharan Africa,Central African Republic,Office Supplies,2014-04-18,668599021,2163,651.21
Sub-Saharan Africa,Niger,Baby Food,2016-01-03,123670709,5766,255.28
Europe,Austria,Office Supplies,2011-05-12,285341823,7841,651.21
Asia,India,Fruits,2010-07-29,658348691,8862,9.33
Europe,Luxembourg,Baby Food,2013-08-02,817740142,6335,255.28
Sub-Saharan Africa,Cape Verde,Beverages,2013-10-23,858877503,9794,47.45
Europe,Sweden,Vegetables,2017-02-05,947434604,5808,154.06
Europe,Iceland,Meat,2015-03-20,869397771,2975,421.89
Middle East and North Africa,Qatar,Personal Care,2012-05-06,481065833,6925,81.73
Sub-Saharan Africa,South Sudan,Meat,2013-09-30,159050118,5319,421.89
Europe,United Kingdom,Office Supplies,2014-05-20,350274455,2850,651.21
Middle East and North Africa,"Tunisia ",Cereal,2010-04-09,221975171,6241,205.7
North America,United States of America,Office Supplies,2017-06-09,811701095,9247,651.21
Sub-Saharan Africa,Liberia,Cereal,2015-02-08,977313554,7653,205.7
Sub-Saharan Africa,Eritrea,Snacks,2010-01-25,546986377,4279,152.58
Asia,South Korea,Fruits,2010-03-07,769205892,3972,9.33
Sub-Saharan Africa,Kenya,Clothes,2013-01-03,262770926,8611,109.28
Sub-Saharan Africa,Rwanda,Snacks,2017-03-06,866792809,2109,152.58
Central America and the Caribbean,Cuba,Beverages,2011-01-09,890695369,5408,47.45
Middle East and North Africa,Libya,Cereal,2014-03-27,964214932,1480,205.7
Europe,Czech Republic,Snacks,2013-06-28,887400329,332,152.58
Europe,Montenegro,Beverages,2011-09-04,980612885,3999,47.45
Europe,Montenegro,Clothes,2016-07-14,734526431,1549,109.28
Asia,Philippines,Baby Food,2014-02-23,160127294,4079,255.28
Central America and the Caribbean,El Salvador,Clothes,2010-08-07,238714301,9721,109.28
Australia and Oceania,Tonga,Household,2013-01-14,671898782,8635,668.27
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,2010-09-30,331604564,8014,81.73
Middle East and North Africa,Afghanistan,Cereal,2016-10-13,410067975,7081,205.7
Australia and Oceania,Tuvalu,Snacks,2011-03-16,369837844,2091,152.58
Sub-Saharan Africa,Sudan,Fruits,2012-12-26,193775498,1331,9.33
Sub-Saharan Africa,Niger,Clothes,2015-09-02,835054767,117,109.28
Sub-Saharan Africa,Gabon,Household,2013-11-11,167161977,5798,668.27
Australia and Oceania,East Timor,Vegetables,2014-08-04,633895957,2755,154.06
